Техногенное;Транспортные аварии 
Техногенное;Взрывы (в том числе с последующим горением) и (или) разрушения (обрушения) в зданиях и сооружениях 
Техногенное;Аварии на системах жизнеобеспечения 
Техногенное;Аварии с выбросом/сбросом опасных химических веществ 
Техногенное;Аварии с разливом/выбросом нефти/нефтепродуктов 
Техногенное;Авария с выбросом радиоактивных веществ или сбросом радиоактивных отходов 
Техногенное;Аварии с выбросом/проливом патогенных для человека микроорганизмов 
Техногенное;Гидродинамические аварии 
Природные;Опасные геофизические явления 
Природные;Опасные геологические явления 
Природные;Опасные метеорологические явления 
Природные;Морские опасные гидрометеорологические явления 
Природные;Опасные гидрологические явления 
Природные;Опасные явления в лесах 
Природные;Геофизические явления 
Природные;Космические опасности 
Природные;Биологическая опасность 
